Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,4.8,0,0.0,-8.30,89.2,100,185.5,0,0.0,0.0,121.1,15,103.5,151.0,0.0,0
0.023,4.8,0,80.3,-8.30,89.2,100,185.5,923,2.2,12.8,121.1,15,103.5,151.0,0.0,0
0.057,4.8,0,80.3,-8.31,89.2,100,185.5,923,2.2,12.7,121.1,15,103.5,151.0,0.0,0
0.097,4.8,0,80.3,-8.32,89.2,100,185.5,920,2.2,12.7,121.1,15,103.5,151.0,0.0,0
0.135,4.8,0,80.3,-8.33,89.2,100,185.5,916,2.2,12.6,121.1,15,103.5,151.0,0.0,0
0.175,4.6,0,80.3,-8.32,89.2,100,185.5,915,2.2,12.7,121.1,15,103.5,151.0,0.0,0
0.215,4.2,0,80.3,-8.32,89.2,100,185.5,914,2.2,12.6,121.1,15,103.5,151.0,0.0,0
0.255,3.4,0,80.3,-8.32,89.2,100,185.5,917,2.2,12.6,121.1,15,103.5,151.0,0.0,0
0.295,2.1,0,80.3,-8.33,89.2,100,185.5,913,2.2,12.5,121.1,15,103.5,151.0,0.0,0
0.335,2.2,0,80.3,-8.34,89.2,100,185.5,909,2.2,12.5,121.1,15,103.5,151.0,0.0,0
0.380,2.9,0,80.3,-8.32,89.2,100,185.5,905,2.2,12.6,121.1,15,103.5,151.0,0.0,0
0.416,3.9,0,80.3,-8.31,89.2,100,185.5,900,2.2,12.6,121.2,15,103.5,151.0,0.0,0
0.455,4.5,0,80.3,-8.31,89.2,100,185.5,891,2.1,12.6,121.2,15,103.5,151.0,0.0,0
0.498,4.5,0,80.3,-8.31,89.2,100,185.5,899,2.2,12.6,121.2,15,103.5,151.0,0.0,0
0.532,4.4,0,80.3,-8.29,89.2,100,185.5,899,2.2,12.8,121.2,15,103.5,151.0,0.0,0
0.575,4.2,0,80.3,-8.26,89.2,100,185.5,907,2.2,12.9,121.2,15,103.5,151.0,0.0,0
0.615,4.2,0,80.3,-8.23,89.2,100,185.5,914,2.3,13.0,121.2,15,103.5,151.0,0.0,0
0.656,4.2,0,80.3,-8.23,89.2,100,185.5,928,2.3,13.3,121.2,15,103.5,151.0,0.0,0
0.695,4.2,0,80.3,-8.25,89.2,100,185.5,938,2.3,13.1,121.2,15,103.5,151.0,0.0,0
0.735,4.2,0,80.3,-8.24,89.2,100,185.5,941,2.4,13.3,121.2,15,103.5,151.0,0.0,0
0.775,3.9,0,80.3,-8.25,89.2,100,185.5,948,2.4,13.2,121.2,15,103.5,151.0,0.0,0
0.815,3.6,0,80.6,-8.23,89.2,100,185.5,954,2.4,13.4,121.2,15,103.5,151.0,0.0,0
0.854,3.5,0,80.6,-8.26,89.2,100,185.5,953,2.4,13.3,121.2,15,103.5,151.0,0.0,0
0.895,3.3,2,80.3,-8.27,89.2,100,185.5,956,2.4,13.1,121.2,15,103.5,151.1,0.0,0
0.941,3.1,3,80.3,-8.26,89.2,100,185.5,957,2.4,13.2,121.2,15,103.5,151.1,0.0,0
0.975,2.9,4,80.3,-8.22,89.2,100,185.5,967,2.5,13.6,121.2,15,103.5,151.1,0.0,0
1.016,3.1,4,80.3,-8.01,89.2,75,185.5,980,2.7,14.5,121.2,15,103.5,151.1,0.0,0
1.055,3.1,5,80.3,-7.86,89.2,50,185.5,1005,3.1,16.3,121.2,15,103.5,151.1,0.0,0
1.099,3.1,6,80.3,-7.66,89.2,50,185.5,1019,3.4,17.5,121.2,15,103.5,151.1,0.0,0
1.132,2.9,6,80.3,-7.47,89.2,50,185.5,1036,3.6,18.4,121.2,15,103.5,151.1,0.0,0
1.178,2.8,6,80.3,-7.32,89.2,50,185.5,1072,4.2,20.4,121.2,15,103.5,151.1,0.0,0
1.213,2.7,7,80.3,-7.24,89.2,50,185.5,1090,4.5,21.5,121.2,15,103.5,151.1,0.0,0
1.257,2.5,8,80.3,-7.09,89.2,50,185.5,1133,4.9,22.6,121.2,15,103.5,151.1,0.0,0
1.291,2.4,8,80.3,-7.02,89.2,50,185.5,1157,5.1,22.9,121.2,15,103.5,151.1,0.0,0
1.336,2.4,8,80.3,-6.98,89.2,50,185.5,1203,5.4,23.6,121.2,15,103.5,151.1,0.0,0
1.370,2.4,8,80.3,-6.91,89.2,50,185.5,1249,5.8,24.3,121.2,15,103.5,151.1,0.0,0
1.416,2.5,8,80.3,-6.89,89.2,50,185.5,1270,5.9,24.3,121.2,15,103.5,151.1,0.0,0
1.451,2.6,8,80.3,-6.87,89.2,50,185.5,1313,6.2,24.7,121.2,15,103.5,151.1,0.0,0
1.497,2.7,8,80.3,-6.91,89.2,50,185.5,1356,6.2,24.1,121.2,15,103.5,151.1,0.0,0
1.531,3.3,8,80.3,-6.92,89.2,50,185.5,1396,6.4,24.0,121.2,15,103.5,151.1,0.0,0
1.580,4.9,8,80.3,-6.95,89.2,50,185.5,1435,6.5,24.0,121.2,15,103.5,151.1,0.0,0
1.615,6.3,8,80.3,-6.99,89.2,50,185.5,1455,6.5,23.5,121.2,15,103.5,151.1,0.0,0
1.650,6.2,8,80.3,-6.97,89.2,50,185.5,1489,6.6,23.4,121.2,15,103.5,151.1,0.0,0
1.696,6.1,8,80.3,-7.00,89.2,50,185.5,1533,6.7,22.9,121.2,15,103.5,151.1,0.0,0
1.730,5.7,8,80.3,-7.05,89.2,50,185.5,1561,6.7,22.4,121.2,15,103.5,151.1,0.0,0
1.778,4.6,8,80.3,-7.07,89.2,50,185.5,1585,6.6,21.8,121.2,15,103.5,151.1,0.0,0
1.811,4.2,8,80.3,-7.12,89.2,50,185.5,1608,6.6,21.7,121.2,15,103.5,151.1,0.0,0
1.857,4.2,8,80.3,-7.16,89.2,50,185.5,1627,6.6,21.4,121.2,15,103.5,151.1,0.0,0
1.892,4.6,8,80.3,-7.19,89.2,50,185.5,1645,6.6,20.9,121.2,15,103.5,151.1,0.0,0
1.936,4.6,8,80.3,-7.25,89.2,50,185.5,1661,6.4,20.4,121.2,15,103.5,151.1,0.0,0
1.970,4.2,8,80.3,-7.27,89.2,50,185.5,1687,6.5,20.1,121.2,15,103.5,151.1,0.0,0
2.015,4.4,8,80.3,-7.29,89.2,50,185.5,1698,6.5,20.1,121.2,15,103.5,151.1,0.0,0
2.053,4.6,8,80.3,-7.29,89.2,50,185.5,1710,6.6,20.2,121.2,15,103.5,151.1,0.0,0
2.098,4.6,8,80.6,-7.29,89.2,50,185.5,1737,6.7,20.2,121.2,15,103.5,151.1,0.0,0
2.131,4.5,8,80.6,-7.29,89.2,50,185.5,1756,6.7,20.1,121.2,15,103.5,151.1,0.0,0
2.177,4.4,8,80.6,-7.31,89.2,50,185.5,1776,6.7,19.9,121.2,15,103.5,151.1,0.0,0
2.211,4.2,8,80.3,-7.31,89.2,50,185.5,1804,6.9,19.9,121.2,15,103.5,151.2,0.0,0
2.250,4.2,8,80.3,-7.30,89.2,50,185.5,1821,6.9,20.0,121.2,15,103.5,151.2,0.0,0
2.296,4.2,8,80.3,-7.32,89.2,50,185.5,1845,6.9,19.8,121.2,15,103.5,151.2,0.0,0
2.332,4.2,8,80.3,-7.29,89.2,50,185.5,1862,7.0,19.8,121.2,15,103.5,151.2,0.0,0
2.377,4.2,8,80.3,-7.31,89.2,50,185.5,1878,7.1,19.8,121.2,15,103.5,151.2,0.0,0
2.412,4.2,8,80.3,-7.30,89.2,50,185.5,1903,7.1,19.8,121.2,15,103.5,151.2,0.0,0
