Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,7.4,0,0.0,-8.82,101.5,100,188.6,896,0.0,0.0,163.3,15,155.7,179.9,0.0,0
0.013,7.4,0,88.1,-8.82,101.5,100,188.6,891,1.5,8.9,163.3,15,155.7,179.9,0.0,0
0.058,7.4,0,88.1,-8.78,101.7,100,188.6,887,1.5,9.1,163.3,15,155.7,179.9,0.0,0
0.101,7.4,0,88.1,-8.80,101.7,100,188.6,886,1.6,9.5,163.3,15,155.7,179.9,0.0,0
0.144,7.4,0,88.1,-8.77,101.7,100,188.6,884,1.6,9.4,163.3,15,155.7,179.9,0.0,0
0.215,7.4,0,88.1,-8.74,101.7,100,188.6,885,1.6,9.7,163.3,15,155.7,179.9,0.0,0
0.239,7.4,0,88.1,-8.70,101.7,50,188.6,882,1.6,9.7,163.3,15,155.7,179.9,0.0,0
0.267,7.4,0,88.1,-8.68,101.7,50,188.6,873,1.6,9.9,163.3,15,155.7,179.9,0.0,0
0.310,7.4,0,88.1,-8.65,101.7,0,188.6,834,1.6,10.3,163.3,15,155.7,179.9,0.0,0
0.335,7.4,0,88.1,-8.62,101.5,0,188.6,839,1.7,10.5,163.3,15,155.7,179.9,0.0,0
0.374,7.4,0,88.1,-8.57,101.5,0,188.6,857,1.8,10.9,163.3,15,155.7,179.9,0.0,0
0.418,7.4,0,88.1,-8.50,101.5,0,188.6,860,1.8,10.9,163.3,15,155.7,179.9,0.0,0
0.451,7.4,0,88.1,-8.48,101.7,0,188.6,867,1.9,11.7,163.3,15,155.7,179.9,0.0,0
0.493,7.4,0,88.1,-8.41,101.7,0,188.6,870,2.0,12.1,163.3,15,155.7,179.9,0.0,0
0.538,7.4,0,88.1,-8.38,101.7,0,188.6,869,2.1,12.5,163.3,15,155.7,179.9,0.0,0
0.592,7.4,0,88.1,-8.35,101.7,0,188.6,872,2.1,12.5,163.3,15,155.7,179.9,0.0,0
0.617,7.4,0,88.1,-8.37,101.7,0,188.6,881,2.1,12.6,163.3,15,155.7,179.9,0.0,0
0.649,7.4,0,88.1,-8.35,101.7,0,188.8,883,2.1,12.6,163.3,15,155.7,179.9,0.0,0
0.692,7.4,0,88.1,-8.37,101.7,0,188.8,888,2.1,12.6,163.3,15,155.7,179.9,0.0,0
0.740,7.4,0,88.1,-8.37,101.7,0,188.8,893,2.2,12.7,163.3,15,155.7,179.9,0.0,0
0.769,7.4,0,88.1,-8.39,101.7,0,188.8,898,2.2,12.8,163.3,15,155.7,179.9,0.0,0
0.820,7.4,0,88.1,-8.39,101.7,0,188.8,906,2.2,12.5,163.3,15,155.7,179.9,0.0,0
0.854,7.4,0,87.8,-8.41,101.7,0,188.8,908,2.2,12.5,163.3,15,155.7,179.9,0.0,0
0.889,7.4,0,87.8,-8.44,101.7,0,188.8,911,2.1,12.2,163.3,15,155.7,179.9,0.0,0
0.934,7.4,0,87.8,-8.48,101.7,0,188.8,911,2.1,12.3,163.3,15,155.7,179.9,0.0,0
0.979,7.4,0,87.8,-8.50,101.7,0,188.8,916,2.1,12.1,163.3,15,155.7,179.9,0.0,0
1.012,7.4,0,87.8,-8.48,101.7,0,188.8,919,2.1,11.9,163.3,15,155.7,179.9,0.0,0
1.049,7.4,0,87.8,-8.51,101.7,0,188.8,920,2.1,11.9,163.3,15,155.7,179.9,0.0,0
1.093,7.4,0,87.8,-8.51,101.7,0,188.8,924,2.1,11.9,163.3,15,155.7,179.9,0.0,0
1.138,7.4,0,88.1,-8.54,101.7,0,188.8,922,2.1,11.9,163.3,15,155.7,179.9,0.0,0
1.174,7.4,0,88.1,-8.56,101.7,0,188.8,925,2.1,11.8,163.3,15,155.7,179.9,0.0,0
1.218,7.4,0,88.1,-8.55,101.7,0,188.8,924,2.1,11.7,163.3,15,155.7,179.9,0.0,0
1.251,7.4,0,87.8,-8.55,101.7,0,188.8,924,2.0,11.6,163.3,15,155.7,179.9,0.0,0
1.298,7.4,0,87.8,-8.58,101.7,0,188.8,922,2.0,11.5,163.3,15,155.7,179.9,0.0,0
1.341,7.4,0,88.1,-8.63,101.7,0,188.8,922,2.0,11.5,163.3,15,155.7,179.9,0.0,0
1.376,7.4,0,88.1,-8.65,101.7,0,188.8,921,1.9,11.1,163.3,15,155.7,179.9,0.0,0
1.410,7.4,0,88.1,-8.66,101.7,0,188.8,921,1.9,10.8,163.3,15,155.7,179.9,0.0,0
1.457,7.4,0,87.8,-8.64,101.7,0,188.8,919,1.9,10.8,163.3,15,155.7,179.9,0.0,0
1.492,7.4,0,87.8,-8.65,101.7,0,188.8,918,1.9,10.8,163.3,15,155.7,179.9,0.0,0
1.536,7.4,0,87.8,-8.68,101.7,0,188.8,918,1.9,10.8,163.3,15,155.7,179.9,0.0,0
1.579,7.4,0,87.8,-8.69,101.7,0,188.8,916,1.8,10.5,163.3,15,155.7,179.9,0.0,0
1.617,7.4,0,87.8,-8.71,101.7,0,188.8,914,1.8,10.5,163.3,15,155.7,179.9,0.0,0
1.651,7.4,0,87.8,-8.71,101.7,0,188.8,910,1.8,10.1,163.3,15,155.7,179.9,0.0,0
1.694,7.3,0,87.8,-8.72,101.7,0,188.8,905,1.8,10.2,163.3,15,155.7,179.9,0.0,0
1.739,7.4,0,87.8,-8.74,101.7,0,188.8,899,1.7,10.1,163.3,15,155.7,179.9,0.0,0
