Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,19.2,0,0.0,-8.51,111.4,100,188.2,0,0.0,0.0,152.8,15,129.0,169.9,0.0,0
0.014,19.2,0,100.5,-8.52,111.4,100,188.2,903,1.9,11.2,152.8,15,129.0,169.9,0.0,0
0.035,19.2,0,100.5,-8.52,111.4,100,188.2,904,1.9,11.1,152.8,15,129.0,169.9,0.0,0
0.081,19.2,0,100.5,-8.52,111.4,100,188.2,906,1.9,11.1,152.8,15,129.0,169.9,0.0,0
0.115,19.2,0,100.5,-8.50,111.4,100,188.2,909,1.9,11.2,152.8,15,129.0,169.9,0.0,0
0.159,19.2,0,100.5,-8.53,111.4,100,188.2,909,1.9,11.1,152.8,15,129.0,169.9,0.0,0
0.193,19.2,0,100.5,-8.52,111.4,100,188.2,905,1.9,11.3,152.8,15,129.0,169.9,0.0,0
0.237,19.2,0,100.5,-8.52,111.4,100,188.2,911,2.0,11.3,152.8,15,129.0,169.9,0.0,0
0.271,19.2,0,100.5,-8.52,111.4,100,188.2,910,1.9,11.2,152.8,15,129.0,169.9,0.0,0
0.317,19.2,0,100.5,-8.50,111.4,100,188.2,910,2.0,11.3,152.8,15,129.0,169.9,0.0,0
0.362,19.2,0,100.5,-8.53,111.4,100,188.2,905,1.9,11.1,152.8,15,129.0,169.9,0.0,0
0.396,19.2,0,100.5,-8.50,111.4,100,188.2,907,2.0,11.3,152.8,15,129.0,169.9,0.0,0
0.437,19.2,0,100.5,-8.52,111.4,100,188.2,907,1.9,11.1,152.8,15,129.0,169.9,0.0,0
0.475,19.2,0,100.5,-8.52,111.4,100,188.2,910,1.9,11.2,152.8,15,129.3,169.9,0.0,0
0.515,19.2,0,100.5,-8.50,111.4,100,188.2,913,2.0,11.3,152.8,15,129.3,169.9,0.0,0
0.555,19.2,0,100.5,-8.53,111.4,100,188.2,912,1.9,11.2,152.8,15,129.3,169.9,0.0,0
0.595,19.2,0,100.5,-8.52,111.4,100,188.2,909,1.9,11.2,152.8,15,129.0,170.0,0.0,0
0.631,19.2,0,100.5,-8.53,111.4,100,188.2,908,1.9,11.1,152.8,15,129.0,170.0,0.0,0
0.675,19.2,0,100.5,-8.52,111.4,100,188.2,904,1.9,11.2,152.8,15,129.3,170.0,0.0,0
0.715,19.2,0,100.5,-8.50,111.4,100,188.2,899,1.9,11.1,152.8,15,129.3,170.0,0.0,0
0.755,19.2,0,100.5,-8.52,111.4,100,188.2,896,1.9,11.1,152.8,15,129.3,170.0,0.0,0
0.795,19.2,0,100.5,-8.54,111.4,100,188.2,896,1.9,11.0,152.8,15,129.3,170.0,0.0,0
0.835,19.2,0,100.5,-8.53,111.4,100,188.2,893,1.9,11.1,152.8,15,129.3,170.0,0.0,0
0.875,19.2,0,100.5,-8.54,111.4,100,188.2,892,1.9,11.1,152.8,15,129.0,170.0,0.0,0
0.917,19.2,0,100.5,-8.54,111.4,100,188.2,894,1.9,10.9,152.8,15,129.0,170.0,0.0,0
0.955,19.2,0,100.5,-8.53,111.4,100,188.2,893,1.9,11.0,152.8,15,129.0,170.0,0.0,0
0.997,19.2,0,100.5,-8.55,111.4,100,188.2,898,1.9,10.8,152.8,15,129.3,170.0,0.0,0
1.030,19.2,0,100.5,-8.52,111.4,100,188.2,897,1.9,11.1,152.8,15,129.3,170.0,0.0,0
1.078,19.2,0,100.5,-8.52,111.4,100,188.2,902,1.9,11.1,152.8,15,129.3,170.0,0.0,0
1.112,19.2,0,100.5,-8.53,111.4,100,188.2,900,1.9,10.9,152.8,15,129.3,170.0,0.0,0
1.157,19.2,0,100.5,-8.53,111.4,100,188.2,902,1.9,11.1,152.8,15,129.3,170.0,0.0,0
1.193,19.2,0,100.5,-8.55,111.4,100,188.2,905,1.9,11.1,152.8,15,129.0,170.0,0.0,0
1.231,19.2,0,100.5,-8.55,111.4,100,188.2,908,1.9,10.9,152.8,15,129.0,170.0,0.0,0
1.275,19.2,0,100.5,-8.53,111.4,100,188.2,906,1.9,11.1,152.8,15,129.3,170.0,0.0,0
1.311,19.2,0,100.5,-8.55,111.4,100,188.2,911,1.9,10.9,152.8,15,129.3,170.0,0.0,0
1.355,19.2,0,100.5,-8.54,111.4,100,188.2,909,1.9,10.9,152.8,15,129.3,170.0,0.0,0
1.390,19.2,0,100.5,-8.56,111.4,100,188.2,905,1.8,10.7,152.8,15,129.3,170.0,0.0,0
1.434,19.2,0,100.5,-8.57,111.4,100,188.2,907,1.9,10.8,152.8,15,129.3,170.0,0.0,0
1.470,19.2,0,100.5,-8.56,111.4,100,188.2,907,1.9,11.1,152.8,15,129.0,170.0,0.0,0
1.515,19.2,0,100.5,-8.54,111.4,100,188.2,906,1.9,10.9,152.8,15,129.0,170.0,0.0,0
1.558,19.2,0,100.5,-8.55,111.4,100,188.2,905,1.9,10.9,152.8,15,129.0,170.0,0.0,0
1.594,19.2,0,100.5,-8.55,111.4,100,188.2,905,1.9,11.0,152.8,15,129.3,170.0,0.0,0
1.630,19.2,0,100.5,-8.56,111.4,100,188.2,907,1.9,10.9,152.8,15,129.3,170.0,0.0,0
1.675,19.2,0,100.5,-8.54,111.4,100,188.2,905,1.9,11.3,152.8,15,129.3,170.0,0.0,0
1.710,19.2,0,100.5,-8.55,111.4,100,188.2,903,1.9,10.9,152.8,15,129.3,170.0,0.0,0
1.759,19.2,0,100.5,-8.55,111.4,100,188.2,899,1.9,11.2,152.8,15,129.3,170.0,0.0,0
1.794,19.4,0,100.5,-8.56,111.4,100,188.2,895,1.9,11.2,152.8,15,129.3,170.0,0.0,0
1.838,19.5,0,100.5,-8.56,111.4,100,188.2,896,1.9,10.9,152.8,15,129.3,170.0,0.0,0
1.873,19.3,0,100.5,-8.55,111.4,100,188.2,899,1.9,11.0,152.8,15,129.3,170.0,0.0,0
1.917,18.3,0,100.5,-8.56,111.4,100,188.2,901,1.9,10.8,152.8,15,129.3,170.0,0.0,0
1.952,17.7,0,100.5,-8.53,111.4,100,188.2,902,1.9,10.8,152.8,15,129.3,170.0,0.0,0
1.997,17.6,0,100.5,-8.54,111.4,100,188.2,904,1.9,11.1,152.8,15,129.3,170.0,0.0,0
