Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,167.5,17,0.0,-3.17,141.8,50,204.8,0,0.0,0.0,133.2,15,123.6,178.7,0.0,0
0.044,171.4,17,79.8,-3.10,141.8,50,204.8,1562,19.3,64.8,133.2,15,123.6,178.7,0.0,0
0.082,175.2,17,79.8,-2.97,141.8,50,204.8,1688,21.3,66.2,133.2,15,123.6,178.7,0.0,0
0.106,179.2,17,79.8,-2.86,141.8,50,204.8,1768,22.1,65.6,133.2,15,123.6,178.7,0.0,0
0.171,183.2,17,79.8,-2.75,141.8,50,204.8,1836,22.8,65.2,133.2,15,123.6,178.7,0.0,0
0.194,187.1,17,79.8,-2.65,141.8,50,204.8,1938,23.8,64.5,133.2,15,123.6,178.7,0.0,0
0.232,191.2,17,79.8,-2.69,141.8,50,204.8,2019,24.6,64.1,133.2,15,123.6,178.7,0.0,0
0.274,194.9,17,79.8,-2.76,141.8,50,204.8,2058,24.7,63.0,133.2,15,123.6,178.7,0.0,0
0.312,198.4,17,79.8,-2.71,141.6,50,204.8,2100,25.8,64.5,133.3,15,123.6,178.7,0.0,0
0.367,201.7,17,79.8,-2.68,141.6,50,204.8,2118,25.3,62.8,133.3,15,123.6,178.7,0.0,0
0.411,205.0,17,79.8,-2.65,141.6,50,204.8,2130,25.3,62.5,133.3,15,123.6,178.7,0.0,0
0.427,208.0,17,79.8,-2.66,141.6,50,204.8,2127,25.1,62.1,133.3,15,123.6,178.7,0.0,0
0.472,210.8,17,79.8,-2.61,141.3,50,204.8,2127,25.2,62.3,133.3,15,123.6,178.8,0.2,0
0.506,213.1,17,79.8,-2.63,141.3,50,204.8,2123,25.2,62.3,133.3,15,123.6,178.8,0.3,0
0.549,215.1,17,79.8,-2.64,141.3,50,204.8,2112,25.0,62.1,133.3,15,123.6,178.8,0.5,0
0.585,216.4,17,79.8,-2.61,141.3,50,204.8,2100,25.0,62.6,133.3,15,123.6,178.8,0.8,0
0.643,216.8,18,79.8,-2.59,141.3,50,204.8,2084,25.0,63.1,133.3,15,123.6,178.8,0.9,0
0.672,216.8,18,79.8,-2.52,141.3,50,204.8,2065,25.2,64.0,133.3,15,123.4,178.8,1.1,0
0.713,216.7,18,79.8,-2.48,141.3,50,204.8,2046,25.3,64.9,133.3,15,123.4,178.8,1.4,0
0.752,216.7,18,79.8,-2.44,141.3,50,204.8,2015,24.9,65.0,133.3,15,123.4,178.8,1.6,0
0.792,216.4,18,79.8,-2.41,141.1,50,204.8,1979,24.7,65.6,133.3,15,123.4,178.8,1.7,0
0.838,216.1,18,79.8,-2.39,141.1,50,204.8,1949,24.4,65.7,133.3,15,123.4,178.8,2.0,0
0.872,215.6,18,79.8,-2.38,141.1,50,204.8,1898,23.8,65.8,133.3,15,123.4,178.8,2.2,0
0.912,214.7,18,79.8,-2.34,141.1,50,204.8,1865,23.2,65.3,133.3,15,123.4,178.8,2.4,0
0.953,213.8,18,79.8,-2.30,141.1,50,204.8,1807,22.5,65.3,133.3,15,123.4,178.8,2.7,0
0.994,212.8,18,79.8,-2.23,141.1,50,204.8,1763,22.0,65.4,133.3,15,123.4,178.8,2.9,0
1.032,211.6,18,79.8,-2.15,141.1,50,204.8,1716,21.5,65.7,133.3,15,123.4,178.8,3.0,0
1.072,209.7,18,79.8,-2.12,140.7,50,204.8,1668,21.3,67.1,133.3,15,123.4,178.8,3.4,0
1.107,207.2,18,79.8,-2.01,140.7,50,204.8,1584,20.1,66.6,133.3,15,123.4,178.8,3.6,0
1.141,204.4,18,79.8,-1.93,140.7,50,204.8,1526,20.0,69.0,133.3,15,123.4,178.8,3.8,0
1.183,201.0,18,79.8,-1.87,140.7,50,204.8,1460,19.6,70.6,133.3,15,123.4,178.8,4.1,0
1.226,197.1,18,79.8,-1.76,140.7,50,204.8,1389,18.8,71.2,133.3,15,123.4,178.8,4.4,0
1.271,192.7,18,79.8,-1.67,140.5,50,204.8,1353,18.5,71.6,133.3,15,123.4,178.8,4.5,0
1.309,187.5,18,79.8,-1.60,140.5,50,204.8,1270,17.4,72.1,133.3,15,123.4,178.8,4.9,0
1.344,181.3,18,79.8,-1.45,140.5,50,204.8,1173,16.1,72.1,133.3,15,123.4,178.8,5.1,0
1.391,174.2,18,79.8,-1.31,140.5,50,204.8,1118,15.8,74.0,133.3,15,123.4,178.8,5.3,0
1.424,166.7,18,79.8,-1.22,140.5,50,204.8,1063,15.3,75.5,133.3,15,123.4,178.8,5.7,0
1.468,158.9,18,79.8,-1.05,140.5,50,204.8,978,14.1,75.9,133.3,15,123.4,178.8,5.9,0
1.511,152.0,18,79.8,-0.96,140.5,50,204.6,982,14.1,75.3,133.3,15,123.4,178.8,6.0,0
1.544,146.9,20,79.8,-0.97,140.5,50,204.6,1027,14.9,76.0,133.3,15,123.4,178.8,6.1,0
1.589,142.9,22,79.8,-1.07,140.2,50,204.6,1152,16.4,74.7,133.3,1,123.4,178.8,6.2,0
1.623,139.6,25,79.8,-0.69,140.2,50,204.6,1267,19.1,79.1,133.3,1,123.4,178.8,6.3,0
1.666,136.0,26,79.8,-0.34,140.2,50,204.6,1302,21.2,85.7,133.3,1,123.4,178.8,6.5,0
1.712,131.3,27,79.8,0.07,140.2,0,204.6,1347,22.7,88.4,133.3,1,123.4,178.8,6.6,0
1.745,124.6,27,79.8,0.35,140.2,0,204.6,1339,23.6,92.6,133.3,1,123.4,178.8,6.7,0
1.791,115.9,27,79.8,0.62,140.2,0,204.6,1303,24.4,98.5,133.3,1,123.4,178.9,7.0,0
1.829,105.4,27,79.8,0.73,140.2,0,204.6,1297,24.8,100.5,133.3,1,123.4,178.9,7.2,0
1.864,93.6,27,79.8,0.76,140.0,0,204.6,1312,26.5,106.1,133.3,1,123.4,178.9,7.3,0
1.907,80.4,27,79.8,0.63,140.0,0,204.6,1370,27.7,106.3,133.3,1,123.4,178.9,7.5,0
1.943,66.3,27,79.8,0.54,140.0,0,204.6,1446,30.1,109.2,133.3,1,123.4,178.9,7.7,0
1.987,51.0,27,79.8,0.53,140.0,0,204.6,1487,30.0,105.8,133.3,1,123.4,178.9,7.8,0
2.021,35.4,27,79.8,0.57,140.0,0,204.6,1529,31.3,107.4,133.3,1,123.4,178.9,8.0,0
2.067,20.3,27,79.8,0.58,140.0,0,204.6,1559,31.8,107.1,133.3,1,123.4,178.9,8.2,0
2.112,6.0,27,79.8,0.56,140.0,0,204.6,1604,32.4,106.1,133.3,1,123.4,178.9,8.3,0
2.146,6.1,26,79.8,0.50,140.0,0,204.6,1617,33.0,107.2,133.3,1,123.4,178.9,8.7,0
2.183,15.7,24,79.8,0.27,139.6,0,204.6,1660,33.2,104.9,133.3,1,123.4,178.9,8.8,0
2.222,24.8,8,79.8,-0.28,139.6,0,204.6,1691,33.2,103.2,133.3,1,123.4,178.9,9.0,0
2.266,32.7,0,79.8,-0.71,139.6,0,204.6,1692,31.2,97.0,133.3,1,123.4,178.9,9.3,0
2.311,38.4,0,79.8,-1.47,139.6,25,204.6,1665,28.8,90.7,133.3,1,123.4,178.9,9.5,0
