Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,232.2,18,0.0,-3.35,139.5,50,201.9,0,0.0,0.0,130.2,15,122.3,173.7,0.0,0
0.024,235.9,18,80.1,-3.22,139.5,50,201.9,1378,17.3,66.1,130.2,15,122.3,173.7,0.0,0
0.068,240.2,19,80.1,-3.05,139.5,50,201.9,1470,18.4,65.9,130.2,15,122.3,173.7,0.0,0
0.101,244.5,19,80.1,-2.88,139.5,50,201.9,1562,20.0,67.2,130.2,15,122.3,173.7,0.0,0
0.148,249.2,20,80.1,-2.47,139.5,50,201.9,1649,21.6,68.8,130.2,15,122.3,173.7,0.0,0
0.188,254.6,20,79.8,-2.04,139.5,50,201.9,1732,23.7,72.0,130.2,15,122.3,173.7,0.0,0
0.229,260.4,20,79.8,-1.68,139.5,50,201.9,1854,26.1,73.9,130.2,15,122.3,173.7,0.0,0
0.269,266.4,20,79.8,-1.27,139.1,50,201.9,1929,28.1,76.4,130.2,15,122.3,173.7,0.0,0
0.302,272.2,20,79.8,-1.21,139.1,50,201.9,2024,29.7,77.1,130.2,15,122.3,173.7,0.0,0
0.349,277.6,20,79.8,-1.24,139.1,50,201.9,2099,30.4,76.1,130.3,15,122.0,173.7,0.0,0
0.390,282.0,20,80.1,-1.18,139.1,50,201.9,2154,31.9,77.8,130.3,15,122.0,173.7,0.0,0
0.428,285.6,20,80.1,-0.99,139.1,50,201.9,2209,32.2,76.6,130.3,15,122.0,173.7,0.0,0
0.469,288.7,20,80.1,-1.00,139.1,50,201.9,2257,32.7,76.1,130.3,15,122.0,173.7,0.0,0
0.509,291.3,20,80.1,-1.01,139.1,50,201.9,2306,33.2,75.6,130.3,15,122.0,173.7,0.0,0
0.549,292.9,20,80.1,-1.07,138.9,50,201.9,2349,33.8,75.6,130.3,15,122.0,173.7,0.2,0
0.592,293.5,20,79.8,-1.03,138.9,50,201.9,2393,34.9,76.6,130.3,15,122.0,173.7,0.5,0
0.630,293.2,20,79.8,-0.92,138.9,50,201.9,2428,35.9,77.7,130.3,15,122.0,173.7,0.6,0
0.668,292.2,20,80.1,-0.86,138.9,50,201.9,2476,37.3,79.1,130.3,15,122.0,173.7,0.7,0
0.708,290.8,20,80.1,-0.89,138.9,50,201.9,2506,37.4,78.3,130.3,15,122.0,173.7,1.0,0
0.751,289.2,20,80.1,-0.91,138.9,50,201.9,2522,37.7,78.5,130.3,15,122.0,173.7,1.2,0
0.788,287.6,20,80.1,-0.92,138.9,50,201.9,2542,38.1,78.6,130.3,15,122.0,173.7,1.3,0
0.828,285.9,20,80.1,-0.90,138.9,50,201.9,2552,38.7,79.7,130.3,15,122.0,173.7,1.6,0
0.868,284.2,20,80.1,-0.91,138.9,50,201.9,2551,38.7,79.7,130.3,15,122.0,173.7,1.8,0
0.910,282.4,20,80.1,-0.91,138.9,50,201.9,2552,39.0,80.2,130.3,15,122.0,173.7,1.9,0
0.948,280.5,20,80.1,-0.97,138.6,50,201.9,2549,38.8,80.0,130.3,15,122.0,173.8,2.2,0
0.988,278.1,20,80.1,-1.05,138.6,50,201.9,2546,38.8,80.0,130.3,15,122.0,173.8,2.4,0
1.022,275.1,20,80.1,-1.14,138.6,50,201.9,2541,38.5,79.6,130.3,15,122.0,173.8,2.5,0
1.068,271.7,20,80.1,-1.20,138.6,50,201.9,2543,38.5,79.6,130.3,15,122.0,173.8,2.8,0
1.102,268.0,20,80.1,-1.28,138.6,50,201.9,2539,38.3,79.3,130.3,15,122.0,173.8,3.0,0
1.151,264.2,20,80.1,-1.32,138.6,50,201.9,2532,38.2,79.2,130.3,15,122.0,173.8,3.2,0
1.187,260.2,20,80.1,-1.34,138.6,50,201.9,2529,38.1,79.2,130.3,15,122.0,173.8,3.5,0
1.223,255.7,20,80.1,-1.34,138.6,50,201.9,2530,38.1,79.0,130.3,15,122.0,173.8,3.6,0
1.267,251.0,20,80.1,-1.35,138.6,50,201.9,2524,38.0,79.1,130.3,15,122.0,173.8,3.8,0
1.303,246.0,20,80.1,-1.35,138.6,50,201.9,2523,38.0,79.2,130.3,15,122.0,173.8,4.1,0
1.347,241.0,20,80.1,-1.35,138.6,50,201.9,2525,38.1,79.2,130.3,15,122.0,173.8,4.3,0
1.382,235.8,20,80.1,-1.31,138.6,50,201.9,2519,38.1,79.5,130.3,15,122.0,173.8,4.4,0
1.427,230.2,20,80.1,-1.35,138.6,50,201.9,2510,38.0,79.5,130.3,15,122.0,173.8,4.7,0
1.463,224.3,20,80.1,-1.31,138.6,50,201.9,2501,38.0,79.7,130.3,15,122.0,173.8,4.9,0
1.509,218.1,20,80.1,-1.32,138.6,50,201.9,2487,37.7,79.7,130.3,15,122.0,173.8,5.1,0
1.543,211.9,20,80.1,-1.35,138.6,50,201.9,2475,37.5,79.6,130.3,15,122.0,173.8,5.4,0
1.587,205.0,20,79.8,-1.37,138.6,50,201.9,2464,37.2,79.3,130.3,15,122.0,173.8,5.6,0
1.622,196.5,20,79.8,-1.33,138.6,50,201.9,2449,37.0,79.4,130.3,15,122.0,173.8,5.7,0
1.661,186.9,20,79.8,-1.33,138.6,50,201.9,2416,36.6,79.7,130.3,15,122.0,173.8,6.1,0
1.705,175.0,20,80.1,-1.36,138.6,50,201.9,2390,36.3,79.7,130.3,15,122.0,173.8,6.2,0
1.741,161.5,20,80.1,-1.38,138.4,50,201.9,2353,35.6,79.4,130.3,15,122.0,173.8,6.4,0
1.781,145.8,20,80.1,-1.41,138.4,50,201.9,2318,34.9,79.1,130.3,15,122.0,173.8,6.8,0
1.824,127.5,20,80.1,-1.38,138.4,50,201.9,2274,34.1,78.8,130.3,15,122.0,173.8,7.0,0
