Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,15.7,0,0.0,-8.54,124.0,100,190.0,0,0.0,0.0,179.1,15,169.0,186.3,0.0,0
0.023,15.7,0,101.5,-8.58,124.0,100,190.0,893,1.6,9.3,179.1,15,169.0,186.3,0.0,0
0.068,15.7,0,101.5,-8.59,124.0,100,190.0,890,1.5,9.0,179.1,15,169.4,186.3,0.0,0
0.106,15.7,0,101.5,-8.58,124.0,100,190.0,889,1.5,9.1,179.1,15,169.4,186.3,0.0,0
0.146,15.7,0,101.5,-8.59,124.0,100,190.0,886,1.5,9.0,179.1,15,169.0,186.3,0.0,0
0.186,15.7,0,101.5,-8.60,124.0,100,190.0,887,1.5,9.0,179.1,15,169.0,186.3,0.0,0
0.226,15.7,0,101.5,-8.59,124.0,100,190.0,879,1.5,8.9,179.1,15,169.0,186.3,0.0,0
0.268,15.7,0,101.5,-8.59,124.0,100,190.0,876,1.5,8.9,179.1,15,169.0,186.3,0.0,0
0.306,15.7,0,101.5,-8.56,124.0,100,190.0,875,1.5,9.0,179.1,15,169.0,186.3,0.0,0
0.346,15.7,0,101.5,-8.56,124.0,100,190.2,879,1.5,9.1,179.1,15,169.0,186.3,0.0,0
0.390,16.1,0,101.5,-8.55,124.0,100,190.2,880,1.6,9.3,179.1,15,169.0,186.3,0.0,0
0.424,16.1,0,101.5,-8.56,124.0,100,190.2,883,1.6,9.2,179.1,15,169.0,186.3,0.0,0
0.468,16.1,0,101.5,-8.54,124.0,100,190.2,883,1.6,9.3,179.1,15,169.0,186.3,0.0,0
0.507,15.9,0,101.5,-8.57,124.0,100,190.2,885,1.5,9.1,179.1,15,169.0,186.3,0.0,0
0.549,15.7,0,101.5,-8.54,124.0,100,190.2,886,1.6,9.2,179.1,15,169.0,186.3,0.0,0
0.587,15.6,0,101.5,-8.54,124.0,100,190.2,885,1.6,9.4,179.1,15,169.0,186.3,0.0,0
0.627,15.6,0,101.5,-8.54,124.0,100,190.2,887,1.5,9.1,179.1,15,169.0,186.3,0.0,0
0.667,15.3,0,101.5,-8.53,124.0,100,190.2,892,1.6,9.4,179.1,15,169.0,186.3,0.0,0
0.707,15.3,0,101.5,-8.54,124.0,100,190.2,888,1.6,9.4,179.1,15,169.0,186.3,0.0,0
0.747,15.1,0,101.5,-8.53,124.0,100,190.2,886,1.6,9.5,179.1,15,169.0,186.3,0.0,0
0.787,15.0,0,101.5,-8.54,124.0,100,190.2,888,1.6,9.4,179.1,15,169.0,186.3,0.0,0
0.828,15.0,0,101.5,-8.55,124.0,100,190.2,888,1.6,9.4,179.1,15,169.0,186.3,0.0,0
0.867,15.2,0,101.5,-8.54,124.0,100,190.2,887,1.6,9.3,179.1,15,169.0,186.3,0.0,0
0.907,15.7,0,101.5,-8.53,124.0,100,190.2,889,1.6,9.5,179.1,15,169.0,186.3,0.0,0
0.947,15.8,0,101.5,-8.53,124.0,100,190.2,890,1.6,9.6,179.1,15,169.0,186.3,0.0,0
0.986,15.7,0,101.5,-8.52,124.0,100,190.2,889,1.6,9.7,179.1,15,169.0,186.3,0.0,0
1.028,15.7,0,101.5,-8.57,124.0,100,190.2,886,1.6,9.4,179.1,15,169.0,186.3,0.0,0
1.067,15.7,0,101.5,-8.60,124.3,100,190.2,886,1.5,9.0,179.1,15,169.0,186.3,0.0,0
1.110,15.7,0,101.5,-8.64,124.3,100,190.2,880,1.5,8.7,179.1,15,169.0,186.3,0.0,0
1.145,15.6,0,101.5,-8.66,124.3,100,190.2,877,1.4,8.4,179.1,15,169.0,186.3,0.0,0
1.189,15.4,0,101.5,-8.64,124.3,100,190.2,881,1.4,8.5,179.1,15,169.0,186.3,0.0,0
1.225,15.4,2,101.5,-8.60,124.3,100,190.2,881,1.4,8.6,179.1,15,169.0,186.3,0.0,0
1.269,15.3,12,101.5,-8.53,124.3,100,190.4,884,1.4,8.6,179.1,15,169.0,186.3,0.0,0
1.302,14.7,23,101.5,-7.93,124.3,100,190.4,885,1.7,10.1,179.1,15,169.0,186.3,0.0,0
1.345,14.0,28,101.5,-6.22,124.3,100,190.4,902,2.7,15.6,179.1,15,169.0,186.3,0.0,0
1.382,13.5,40,101.5,-2.71,124.3,100,190.4,921,11.1,63.1,179.1,15,169.0,186.3,0.0,0
1.426,13.4,56,101.5,-1.47,124.3,100,190.4,952,15.5,85.4,179.1,15,169.0,186.3,0.0,0
1.469,13.9,66,101.5,-0.26,124.0,100,190.4,1084,19.9,96.3,179.1,15,169.0,186.3,0.0,0
1.521,14.1,76,101.5,-0.30,124.0,100,190.4,1163,21.6,97.4,179.1,15,169.0,186.3,0.0,0
1.545,14.4,78,101.5,-0.26,124.0,100,190.4,1336,24.5,96.3,179.1,15,169.0,186.3,0.0,0
1.589,14.4,78,101.5,-0.30,124.0,100,190.4,1494,27.9,98.0,179.1,15,169.0,186.3,0.0,0
1.623,14.4,78,101.5,-0.33,124.0,100,190.4,1644,30.5,97.3,179.1,15,169.0,186.3,0.0,0
1.661,14.2,78,101.5,-0.40,124.0,100,190.4,1789,34.8,102.3,179.1,15,169.4,186.3,0.0,0
1.706,14.0,77,101.5,-0.33,124.0,100,190.4,1988,40.3,106.4,179.1,15,169.4,186.3,0.0,0
1.750,13.4,75,101.5,-0.29,124.0,100,190.4,2173,40.3,97.5,179.1,15,169.0,186.3,0.0,0
1.785,12.6,71,101.5,-0.19,124.0,100,190.4,2325,43.6,98.5,179.1,15,169.0,186.3,0.0,0
1.830,12.2,69,101.5,-0.13,124.0,100,190.4,2480,46.2,97.7,179.1,15,169.0,186.3,0.0,0
1.865,11.8,68,101.5,0.07,124.0,100,190.4,2675,49.3,96.8,179.1,15,169.0,186.3,0.0,0
1.909,11.8,67,101.5,0.22,124.0,100,190.4,2857,52.8,97.1,179.1,15,169.0,186.3,0.0,0
1.946,11.9,66,101.5,0.54,124.0,100,190.4,3027,56.6,98.2,179.1,15,169.0,186.3,0.0,0
1.990,12.0,66,101.5,0.86,124.0,100,190.4,3193,62.0,101.9,179.1,15,169.0,186.3,0.0,0
2.024,12.2,66,101.5,1.08,124.0,100,190.4,3355,67.4,105.5,179.1,15,169.0,186.3,0.0,0
2.062,12.2,67,101.5,1.55,123.8,75,190.4,3547,72.0,106.6,179.1,15,169.0,186.3,0.0,0
2.101,12.2,75,101.5,2.14,123.8,50,190.4,3745,78.0,109.4,179.1,15,169.0,186.3,0.0,0
2.145,12.2,86,101.5,2.58,123.8,0,190.4,3828,83.1,114.0,179.1,15,169.0,186.3,0.0,0
2.189,11.3,90,101.5,3.65,123.8,0,190.4,3369,77.7,121.0,179.1,15,169.0,186.3,0.0,0
2.225,10.2,98,101.5,4.74,123.8,0,190.4,3322,84.9,134.2,179.1,15,169.0,186.3,8.0,0
2.269,8.9,100,101.5,5.34,123.8,0,190.4,3431,92.5,141.6,179.1,15,169.0,186.3,14.2,0
2.304,7.2,100,101.5,6.35,123.8,0,190.4,3418,94.6,145.4,179.1,15,169.0,186.3,16.3,0
2.349,5.2,100,101.5,7.35,123.8,0,190.4,3543,101.1,149.9,179.1,15,169.0,186.3,17.2,0
2.383,2.7,100,101.5,8.11,124.0,0,190.4,3493,101.8,153.0,179.1,15,169.0,186.3,19.0,0
2.423,0.4,100,101.5,9.30,124.0,0,190.4,3625,106.3,153.9,179.1,15,169.0,186.3,19.7,0
2.468,1.9,100,101.5,10.63,124.0,0,190.6,3570,108.2,159.2,179.1,15,169.0,186.3,19.0,0
2.502,4.5,100,101.5,11.36,124.0,0,190.6,3731,116.4,163.8,179.1,1,169.0,186.3,21.2,0
2.549,7.5,100,101.5,12.67,124.0,0,190.6,3736,119.0,167.3,179.1,1,169.0,186.3,20.1,0
2.585,11.5,100,101.5,13.92,124.0,0,190.6,3894,129.5,174.7,179.1,1,169.0,186.3,20.9,0
2.629,16.4,100,101.5,14.69,124.0,0,190.6,3942,134.8,179.6,179.1,1,169.0,186.3,20.2,0
2.662,22.3,100,101.5,15.63,124.3,0,190.6,4120,142.5,181.7,179.2,1,169.0,186.3,21.8,0
2.701,28.3,100,101.5,16.38,124.3,0,190.6,4165,147.1,185.6,179.2,1,169.0,186.3,22.0,0
2.746,32.9,100,101.5,16.70,124.5,0,190.6,4349,155.2,187.5,179.2,1,169.0,186.3,23.2,0
2.785,40.2,98,101.5,16.64,124.5,0,190.6,4443,157.7,186.4,179.2,1,169.0,186.3,22.8,0
2.829,51.1,68,101.5,16.50,124.5,0,190.6,4624,160.5,182.3,179.2,1,169.0,186.3,23.2,0
2.864,62.0,15,101.5,16.41,125.1,0,190.6,4727,159.7,177.4,179.2,1,169.0,186.3,24.5,0
2.903,72.7,0,101.5,15.56,125.1,0,190.6,4848,161.7,175.2,179.2,1,169.0,186.3,25.5,0
