Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,90.9,14,0.0,-4.58,143.8,50,206.6,0,0.0,0.0,136.1,15,124.7,183.5,0.0,0
0.021,92.1,14,79.8,-4.41,143.8,50,206.6,1195,10.5,46.3,136.1,15,124.7,183.5,0.0,0
0.065,93.6,15,79.8,-4.25,143.4,50,206.6,1273,12.1,50.1,136.1,15,124.7,183.5,0.0,0
0.100,95.2,16,79.8,-4.09,143.4,50,206.6,1352,14.0,54.4,136.1,15,124.7,183.5,0.0,0
0.144,97.2,16,79.8,-3.88,143.4,50,206.6,1391,14.6,55.1,136.1,15,124.7,183.5,0.0,0
0.178,99.6,16,79.8,-3.67,143.4,50,206.6,1467,16.0,57.2,136.1,15,124.7,183.5,0.0,0
0.222,102.3,17,79.8,-3.55,143.4,50,206.6,1543,17.5,59.7,136.1,15,124.7,183.5,0.0,0
0.261,105.0,17,79.8,-3.34,143.4,50,206.6,1651,19.5,62.0,136.1,15,124.7,183.5,0.0,0
0.302,108.0,17,79.8,-3.08,143.4,50,206.6,1718,20.7,63.3,136.1,15,124.7,183.5,0.0,0
0.343,110.8,17,79.8,-2.90,143.2,50,206.6,1777,22.1,65.3,136.1,15,124.7,183.5,0.0,0
0.402,113.8,17,79.8,-2.80,143.2,50,206.6,1846,22.8,64.8,136.1,15,124.7,183.5,0.0,0
0.426,116.4,17,79.8,-2.61,143.2,50,206.6,1885,23.4,65.3,136.1,15,124.7,183.5,0.0,0
0.461,118.9,17,79.8,-2.51,143.2,50,206.6,1931,24.2,65.7,136.1,15,124.7,183.5,0.0,0
0.518,121.3,17,79.8,-2.48,143.2,50,206.6,1949,24.5,65.9,136.1,15,124.7,183.5,0.0,0
0.545,123.7,17,79.8,-2.42,143.2,50,206.6,1973,24.8,66.1,136.1,15,124.7,183.5,0.0,0
0.578,126.0,17,79.8,-2.39,143.2,50,206.6,1988,25.2,66.5,136.1,15,124.7,183.5,0.0,0
0.621,128.6,17,79.8,-2.39,143.2,50,206.6,1992,25.1,66.1,136.1,15,124.7,183.5,0.0,0
0.662,131.5,17,79.8,-2.35,142.9,50,206.6,1994,25.3,66.6,136.1,15,124.7,183.5,0.2,0
0.705,134.4,17,79.8,-2.36,142.9,50,206.6,1992,25.2,66.4,136.1,15,124.7,183.5,0.5,0
0.741,137.5,17,79.8,-2.34,142.9,50,206.6,1983,25.0,66.3,136.2,15,124.7,183.5,0.7,0
0.781,140.6,17,79.8,-2.33,142.9,50,206.6,1959,24.8,66.4,136.2,15,124.7,183.5,0.8,0
0.822,143.5,17,79.8,-2.33,142.7,50,206.6,1941,24.5,66.2,136.2,15,124.7,183.5,1.1,0
0.865,146.4,17,79.8,-2.30,142.7,50,206.6,1906,24.0,66.0,136.2,15,124.7,183.5,1.2,0
0.901,149.1,17,79.8,-2.27,142.7,50,206.6,1860,23.3,65.9,136.2,15,124.7,183.5,1.4,0
0.942,151.8,17,79.8,-2.22,142.7,50,206.6,1822,22.9,66.1,136.2,15,124.7,183.5,1.7,0
0.981,154.5,17,79.8,-2.18,142.7,50,206.6,1780,22.5,66.4,136.2,15,124.7,183.5,1.9,0
1.021,157.1,17,79.8,-2.11,142.7,50,206.6,1712,21.6,66.2,136.2,15,124.7,183.5,2.1,0
1.070,159.7,17,79.8,-2.08,142.7,50,206.6,1654,21.3,67.6,136.2,15,124.7,183.5,2.4,0
1.104,162.5,17,79.8,-2.00,142.7,50,206.6,1592,20.5,67.6,136.2,15,124.7,183.5,2.6,0
1.138,165.7,17,79.8,-1.93,142.3,50,206.6,1517,20.0,69.1,136.2,15,124.7,183.5,2.8,0
1.178,168.9,17,79.8,-1.87,142.3,50,206.6,1438,19.2,70.2,136.2,15,124.7,183.5,3.2,0
1.224,172.0,17,79.8,-1.78,142.3,50,206.6,1353,18.2,70.9,136.2,15,124.7,183.5,3.4,0
1.258,174.9,17,79.8,-1.70,142.3,50,206.6,1306,17.6,70.8,136.2,15,124.7,183.6,3.5,0
1.299,177.4,18,79.8,-1.64,142.3,50,206.6,1211,16.5,71.4,136.2,15,124.7,183.6,4.0,0
1.343,179.2,18,79.8,-1.48,142.3,50,206.6,1106,15.3,72.6,136.2,15,124.7,183.6,4.2,0
1.378,180.0,18,79.8,-1.24,142.3,50,206.6,1050,14.9,74.5,136.2,15,124.7,183.6,4.4,0
1.423,179.9,18,79.8,-1.08,142.2,50,206.6,984,14.3,76.2,136.2,15,124.7,183.6,4.9,0
1.461,179.4,18,79.8,-0.91,142.2,50,206.6,918,13.4,76.6,136.2,15,124.7,183.6,5.0,0
1.496,178.3,18,79.8,-0.68,142.2,50,206.6,862,12.6,76.5,136.2,15,124.7,183.6,5.2,0
1.540,176.9,18,79.8,-0.64,142.2,50,206.6,872,13.3,80.4,136.2,15,124.7,183.6,5.4,0
1.585,175.1,18,79.8,-0.48,142.2,50,206.6,943,14.8,82.4,136.2,15,124.7,183.6,5.4,0
1.627,172.9,18,79.8,-0.36,142.2,50,206.6,1012,16.1,83.7,136.2,1,124.7,183.6,5.5,0
1.656,170.5,19,79.8,-0.38,142.2,50,206.6,1155,18.4,83.8,136.2,1,124.7,183.6,5.7,0
1.702,167.1,20,79.8,-0.93,142.2,50,206.6,1208,19.3,83.9,136.2,1,124.7,183.6,5.8,0
1.737,163.3,20,79.8,-1.22,141.8,25,206.6,1233,18.9,80.5,136.2,1,124.7,183.6,6.1,0
1.781,158.5,20,79.8,-1.10,141.8,0,206.6,1183,18.6,82.5,136.2,1,124.7,183.6,6.2,0
1.824,152.6,20,79.8,-0.89,141.8,0,206.6,1149,18.6,85.2,136.2,1,124.7,183.6,6.3,0
1.858,146.1,20,79.8,-0.86,141.8,0,206.4,1108,18.3,86.7,136.2,1,124.7,183.6,6.5,0
1.897,139.3,20,79.8,-1.11,141.8,0,206.4,1124,18.5,86.6,136.2,1,124.7,183.6,6.6,0
