Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,16.9,0,0.0,-8.40,135.3,100,193.1,0,0.0,0.0,189.3,15,175.7,192.8,0.0,0
0.023,16.9,0,101.5,-8.41,135.3,100,193.1,910,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.079,16.9,0,101.5,-8.40,135.3,100,193.1,914,2.0,11.4,189.3,15,175.7,192.8,0.0,0
0.119,16.9,0,101.5,-8.37,135.3,100,193.1,917,2.0,11.7,189.3,15,175.7,192.8,0.0,0
0.150,16.9,0,101.5,-8.39,135.3,100,193.1,921,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.187,16.9,0,101.5,-8.38,135.3,100,193.1,921,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.227,16.9,0,101.5,-8.40,135.3,100,193.1,920,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.271,16.9,0,101.5,-8.40,135.3,100,193.1,917,2.0,11.5,189.3,15,175.7,192.8,0.0,0
0.306,16.9,0,101.5,-8.40,135.3,100,193.1,914,2.0,11.7,189.3,15,175.7,192.8,0.0,0
0.351,16.9,0,101.2,-8.38,135.3,100,193.1,914,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.395,16.9,0,101.2,-8.39,135.3,100,193.1,913,2.0,11.5,189.3,15,175.7,192.8,0.0,0
0.429,16.9,0,101.2,-8.40,135.7,100,193.1,913,2.0,11.5,189.3,15,175.7,192.8,0.0,0
0.472,16.9,0,101.5,-8.39,135.7,100,193.1,914,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.505,16.9,0,101.5,-8.43,135.7,100,193.1,914,2.0,11.6,189.3,15,175.7,192.8,0.0,0
0.551,16.9,0,101.2,-8.45,135.3,100,193.1,912,2.0,11.3,189.3,15,175.7,192.8,0.0,0
0.588,16.9,0,101.2,-8.51,135.3,100,193.1,904,1.8,10.7,189.3,15,175.7,192.8,0.0,0
0.622,16.9,0,101.2,-8.56,135.3,100,193.1,897,1.8,10.7,189.3,15,175.7,192.8,0.0,0
0.669,16.9,0,101.2,-8.58,135.3,100,193.1,896,1.7,10.2,189.3,15,175.7,192.8,0.0,0
0.703,16.9,0,101.2,-8.55,135.3,100,193.1,899,1.8,10.3,189.3,15,175.7,192.8,0.0,0
0.739,16.9,0,101.2,-8.56,135.3,100,193.1,900,1.7,10.2,189.3,15,175.7,192.8,0.0,0
0.790,16.9,0,101.2,-8.53,135.3,100,193.1,901,1.7,10.2,189.3,15,175.7,192.8,0.0,0
0.824,16.9,0,101.2,-8.53,135.3,100,193.1,906,1.8,10.3,189.3,15,175.7,192.8,0.0,0
0.867,16.9,0,101.2,-8.53,135.3,100,193.1,905,1.8,10.5,189.3,15,175.7,192.8,0.0,0
0.912,16.9,0,101.2,-8.50,135.3,100,193.1,904,1.9,10.8,189.3,15,175.7,192.8,0.0,0
0.947,16.9,0,101.2,-8.46,135.3,100,193.1,905,1.9,10.8,189.3,15,175.7,192.8,0.0,0
0.979,16.9,0,101.2,-8.47,135.3,100,193.1,906,1.9,11.1,189.3,15,175.7,192.8,0.0,0
1.024,16.9,0,101.2,-8.45,135.7,100,193.1,907,1.9,11.2,189.3,15,175.7,192.8,0.0,0
1.065,16.9,0,101.2,-8.44,135.7,100,193.1,912,1.9,11.2,189.3,15,175.7,192.8,0.0,0
1.100,16.9,0,101.2,-8.44,135.7,100,193.1,913,2.0,11.4,189.3,15,175.7,192.8,0.0,0
1.146,16.9,0,101.2,-8.43,135.7,100,193.1,915,2.0,11.3,189.3,15,175.7,192.8,0.0,0
1.180,16.9,0,101.2,-8.47,135.7,100,193.1,914,1.9,11.1,189.3,15,175.7,192.8,0.0,0
1.228,16.9,0,101.2,-8.53,135.7,100,193.1,904,1.8,10.6,189.3,15,175.7,192.8,0.0,0
1.261,16.9,0,101.2,-8.58,135.7,100,193.1,896,1.8,10.4,189.3,15,175.7,192.8,0.0,0
1.307,16.9,0,101.2,-8.58,135.7,100,193.1,891,1.7,10.1,189.3,15,175.7,192.8,0.0,0
1.340,16.9,0,101.2,-8.60,135.7,100,193.1,889,1.7,9.8,189.3,15,175.7,192.8,0.0,0
