Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,2.0,0,0.0,-8.57,102.7,100,189.3,0,0.0,0.0,172.9,15,163.2,183.3,0.0,0
0.024,2.0,0,80.9,-8.62,102.7,100,189.3,905,1.7,10.0,172.9,15,163.2,183.3,0.0,0
0.068,2.0,0,80.9,-8.66,102.7,100,189.3,903,1.6,9.5,172.9,15,163.2,183.3,0.0,0
0.112,2.0,0,80.9,-8.69,102.7,100,189.3,901,1.6,9.3,172.9,15,163.2,183.3,0.0,0
0.148,2.0,0,80.9,-8.73,102.7,100,189.3,899,1.5,9.0,172.9,15,163.2,183.3,0.0,0
0.188,2.0,0,80.9,-8.77,102.7,100,189.3,898,1.5,8.6,172.9,15,163.2,183.3,0.0,0
0.234,2.0,0,80.9,-8.78,102.7,100,189.3,894,1.4,8.4,172.9,15,163.2,183.3,0.0,0
0.297,2.0,0,80.9,-8.80,102.7,100,189.3,892,1.4,8.1,172.9,15,163.2,183.3,0.0,0
0.311,2.0,0,80.9,-8.79,102.7,100,189.3,892,1.4,8.3,172.9,15,163.2,183.3,0.0,0
0.348,2.0,0,80.9,-8.76,102.7,100,189.3,887,1.4,8.6,172.9,15,163.2,183.3,0.0,0
0.391,2.0,0,80.9,-8.71,102.7,100,189.3,884,1.4,8.5,172.9,15,163.2,183.3,0.0,0
0.429,2.0,0,80.9,-8.69,102.7,100,189.3,881,1.6,9.2,172.9,15,163.2,183.3,0.0,0
0.469,2.0,0,80.9,-8.63,102.9,100,189.5,885,1.6,9.3,172.9,15,163.2,183.3,0.0,0
0.510,2.0,0,80.9,-8.60,102.9,100,189.5,888,1.6,9.7,172.9,15,163.2,183.3,0.0,0
0.543,2.0,0,80.9,-8.59,102.9,100,189.5,891,1.7,9.9,172.9,15,163.2,183.3,0.0,0
0.597,2.0,0,80.9,-8.56,102.9,100,189.5,889,1.7,10.0,172.9,15,163.2,183.3,0.0,0
0.631,2.0,0,80.9,-8.54,102.9,100,189.5,888,1.7,10.2,172.9,15,163.2,183.3,0.0,0
0.665,2.0,0,80.9,-8.51,102.9,100,189.5,897,1.8,10.8,172.9,15,163.2,183.3,0.0,0
0.709,2.0,0,80.9,-8.48,102.9,100,189.5,904,1.9,10.8,172.9,15,163.2,183.3,0.0,0
0.749,2.0,0,80.9,-8.47,102.9,100,189.5,905,1.9,11.0,172.9,15,163.2,183.3,0.0,0
0.788,0.6,0,80.9,-8.46,102.9,100,189.5,909,1.9,10.8,172.9,15,163.2,183.3,0.0,0
0.828,0.8,0,80.9,-8.46,102.9,100,189.5,911,1.9,10.9,172.9,15,163.2,183.3,0.0,0
0.872,0.5,0,80.9,-8.48,102.9,100,189.5,921,1.9,10.9,172.9,15,163.7,183.3,0.0,0
0.906,0.7,0,80.9,-8.49,102.9,100,189.5,918,1.9,10.9,172.9,15,163.7,183.3,0.0,0
0.951,1.8,0,80.9,-8.50,102.9,100,189.5,916,1.9,10.8,172.9,15,163.2,183.3,0.0,0
0.985,2.4,0,80.9,-8.49,102.9,100,189.5,917,1.9,10.8,172.9,15,163.2,183.3,0.0,0
1.029,2.4,0,80.9,-8.51,102.9,100,189.5,917,1.9,10.9,172.9,15,163.2,183.3,0.0,0
1.064,1.7,0,80.9,-8.55,102.9,100,189.5,917,1.8,10.5,172.9,15,163.7,183.3,0.0,0
1.109,1.0,0,80.9,-8.60,102.9,100,189.5,916,1.8,10.4,172.9,15,163.7,183.3,0.0,0
1.152,0.4,0,80.9,-8.63,102.9,100,189.5,911,1.8,10.2,172.9,15,163.2,183.3,0.0,0
1.186,0.7,0,80.9,-8.62,102.9,100,189.5,908,1.7,9.8,172.9,15,163.2,183.3,0.0,0
1.231,1.0,0,80.9,-8.64,102.9,100,189.5,907,1.7,9.7,172.9,15,163.2,183.3,0.0,0
1.265,1.0,0,80.9,-8.63,102.9,100,189.5,911,1.7,9.8,172.9,15,163.2,183.3,0.0,0
1.309,1.2,0,80.9,-8.65,102.9,100,189.5,913,1.7,9.9,172.9,15,163.2,183.3,0.0,0
1.343,2.0,0,80.9,-8.60,102.9,100,189.5,914,1.7,10.0,172.9,15,163.2,183.3,0.0,0
1.388,2.0,0,80.9,-8.60,102.9,100,189.5,916,1.8,10.1,172.9,15,163.2,183.3,0.0,0
1.431,1.6,0,80.9,-8.59,102.9,100,189.5,915,1.8,10.1,172.9,15,163.2,183.3,0.0,0
1.465,1.7,0,80.9,-8.60,102.9,100,189.5,917,1.8,10.1,172.9,15,163.7,183.3,0.0,0
1.510,1.8,0,80.9,-8.58,102.9,100,189.5,918,1.8,10.3,172.9,15,163.7,183.3,0.0,0
