Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,11.7,0,0.0,-8.70,107.1,100,188.2,925,0.0,0.0,142.5,15,120.4,171.5,0.0,0
0.023,11.7,0,82.6,-8.71,107.1,100,188.2,928,1.9,11.0,142.5,15,120.4,171.5,0.0,0
0.078,11.7,0,82.6,-8.69,107.1,100,188.2,927,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.115,11.7,0,82.6,-8.68,107.1,100,188.2,926,1.9,11.1,142.5,15,120.4,171.5,0.0,0
0.138,11.7,0,82.6,-8.67,107.1,100,188.2,929,1.9,11.0,142.5,15,120.4,171.5,0.0,0
0.186,11.7,0,82.6,-8.69,107.1,100,188.2,928,2.0,11.3,142.5,15,120.4,171.5,0.0,0
0.219,11.7,0,82.6,-8.69,107.1,100,188.2,926,1.9,11.0,142.5,15,120.4,171.5,0.0,0
0.258,11.7,0,82.6,-8.69,107.1,100,188.2,928,2.0,11.2,142.5,15,120.4,171.5,0.0,0
0.317,11.7,0,82.6,-8.69,107.1,100,188.2,928,1.9,10.9,142.5,15,120.4,171.5,0.0,0
0.350,11.7,0,82.6,-8.70,107.1,100,188.2,928,1.9,10.9,142.5,15,120.4,171.5,0.0,0
0.388,11.7,0,82.6,-8.70,107.1,100,188.2,928,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.418,11.7,0,82.6,-8.71,107.1,100,188.2,926,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.477,11.7,0,82.6,-8.68,107.1,100,188.2,924,1.9,11.1,142.5,15,120.4,171.5,0.0,0
0.505,11.7,0,82.6,-8.71,107.1,100,188.2,920,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.546,11.7,0,82.6,-8.69,107.1,100,188.2,912,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.579,11.7,0,82.6,-8.71,107.1,100,188.2,910,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.625,11.7,0,82.6,-8.72,107.1,100,188.2,907,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.659,11.7,0,82.6,-8.71,107.1,100,188.2,908,1.9,10.8,142.5,15,120.4,171.5,0.0,0
0.716,11.7,0,82.6,-8.76,107.1,100,188.2,906,1.8,10.4,142.5,15,120.4,171.5,0.0,0
0.738,11.7,0,82.6,-8.78,107.1,100,188.2,893,1.7,10.0,142.5,15,120.4,171.5,0.0,0
0.785,11.7,0,82.6,-8.79,107.1,100,188.2,886,1.7,10.0,142.5,15,120.4,171.5,0.0,0
0.819,11.7,0,82.6,-8.77,107.1,100,188.2,879,1.7,10.1,142.5,15,120.4,171.5,0.0,0
0.863,11.7,0,82.6,-8.78,107.1,100,188.2,877,1.6,9.9,142.5,15,120.4,171.5,0.0,0
0.899,11.7,0,82.6,-8.78,107.1,100,188.2,881,1.7,9.9,142.5,15,120.4,171.5,0.0,0
0.944,11.7,0,82.6,-8.79,107.1,100,188.2,884,1.7,9.9,142.5,15,120.4,171.5,0.0,0
