Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,9.9,0,0.0,-8.58,102.9,100,188.8,0,0.0,0.0,152.0,15,128.7,172.6,0.0,0
0.015,9.9,0,97.7,-8.58,102.9,100,188.8,908,2.0,11.4,152.0,15,128.7,172.6,0.0,0
0.056,9.9,0,97.7,-8.60,102.9,100,188.8,909,1.9,11.1,152.0,15,128.7,172.6,0.0,0
0.083,9.9,0,97.7,-8.59,102.9,100,188.8,909,1.9,11.2,152.0,15,128.7,172.6,0.0,0
0.117,9.9,0,97.7,-8.56,102.9,100,188.8,906,1.9,11.2,152.0,15,128.7,172.6,0.0,0
0.168,9.9,0,97.7,-8.59,102.7,100,188.8,908,1.9,11.2,152.0,15,128.7,172.6,0.0,0
0.205,9.9,0,97.7,-8.60,102.7,100,188.8,911,1.9,11.1,152.0,15,128.7,172.6,0.0,0
0.245,9.9,0,97.7,-8.59,102.7,100,188.8,912,1.9,11.2,152.0,15,128.7,172.6,0.0,0
0.294,9.9,0,97.7,-8.60,102.9,100,188.8,910,1.9,11.2,152.0,15,128.7,172.6,0.0,0
0.328,9.9,0,97.7,-8.58,102.9,100,188.8,908,1.9,11.1,152.0,15,128.7,172.6,0.0,0
0.370,9.9,0,97.7,-8.59,102.9,100,188.8,904,1.9,11.3,152.0,15,128.7,172.6,0.0,0
0.424,9.9,0,97.7,-8.61,102.9,100,188.8,903,1.9,11.1,152.0,15,128.7,172.6,0.0,0
0.447,9.9,0,97.7,-8.58,102.9,100,188.8,898,1.9,11.3,152.0,15,128.7,172.6,0.0,0
0.486,9.9,0,97.7,-8.60,102.9,100,188.8,894,1.9,11.1,152.0,15,128.7,172.6,0.0,0
0.525,9.9,0,97.7,-8.60,102.9,100,188.8,894,1.9,11.0,152.0,15,128.7,172.6,0.0,0
0.565,9.9,0,97.7,-8.61,102.9,100,188.8,896,1.9,11.0,152.0,15,128.7,172.6,0.0,0
0.609,9.9,0,97.7,-8.62,102.9,100,188.8,899,1.9,10.8,152.0,15,128.7,172.6,0.0,0
0.646,9.9,0,97.7,-8.61,102.9,100,188.8,896,1.8,10.8,152.0,15,128.7,172.6,0.0,0
0.684,9.9,0,97.7,-8.59,102.7,100,188.8,896,1.9,11.1,152.0,15,128.7,172.6,0.0,0
0.717,9.9,0,97.7,-8.61,102.7,100,188.8,897,1.9,10.8,152.0,15,128.7,172.6,0.0,0
0.766,9.9,0,97.7,-8.59,102.9,100,188.8,893,1.8,10.8,152.0,15,128.7,172.6,0.0,0
0.809,9.9,0,97.7,-8.62,102.9,100,188.8,892,1.8,10.8,152.0,15,128.7,172.7,0.0,0
0.853,9.9,0,97.7,-8.59,102.9,100,188.8,896,1.9,11.1,152.0,15,128.7,172.7,0.0,0
0.897,9.9,0,97.7,-8.59,102.7,100,188.8,895,1.9,11.3,152.0,15,128.7,172.7,0.0,0
0.930,9.9,0,97.7,-8.58,102.7,100,188.8,896,1.9,11.1,152.0,15,128.7,172.7,0.0,0
0.959,9.9,0,97.7,-8.61,102.9,100,188.8,898,1.9,11.0,152.0,15,128.7,172.7,0.0,0
1.009,9.9,0,97.7,-8.61,102.9,100,188.8,904,1.9,10.9,152.0,15,128.7,172.7,0.0,0
1.044,9.9,0,97.7,-8.62,102.9,100,188.8,906,1.9,10.9,152.0,15,128.7,172.7,0.0,0
1.077,9.9,0,97.7,-8.60,102.9,100,188.8,904,1.9,11.3,152.0,15,128.7,172.7,0.0,0
1.120,9.9,0,97.7,-8.60,102.9,100,188.8,906,1.9,10.9,152.0,15,128.7,172.7,0.0,0
1.165,9.9,0,97.7,-8.61,102.7,100,188.8,903,1.9,11.1,152.0,15,128.7,172.7,0.0,0
1.204,9.9,0,97.7,-8.61,102.7,100,188.8,900,1.9,11.2,152.0,15,128.7,172.7,0.0,0
1.237,9.9,0,97.7,-8.61,102.7,100,188.8,899,1.9,11.0,152.0,15,128.7,172.7,0.0,0
1.281,9.9,0,97.7,-8.58,102.9,100,188.8,899,1.9,11.3,152.0,15,128.7,172.7,0.0,0
1.319,9.9,0,97.7,-8.59,102.9,100,188.8,901,1.9,11.0,152.0,15,128.7,172.7,0.0,0
1.363,9.9,0,97.7,-8.57,102.9,100,188.8,900,1.9,11.1,152.0,15,128.7,172.7,0.0,0
1.396,9.9,0,97.7,-8.61,102.9,100,188.8,904,1.9,11.1,152.0,15,128.7,172.7,0.0,0
1.440,9.9,0,97.7,-8.58,102.9,100,188.8,904,1.9,11.3,152.0,15,128.7,172.7,0.0,0
1.476,9.9,0,97.7,-8.60,102.9,100,188.8,905,1.9,11.2,152.0,15,128.7,172.7,0.0,0
1.521,9.9,0,97.7,-8.57,102.9,100,188.8,904,1.9,11.2,152.0,15,128.7,172.7,0.0,0
1.564,9.9,0,97.7,-8.59,102.9,100,188.8,905,2.0,11.4,152.0,15,128.7,172.7,0.0,0
1.598,9.9,0,97.7,-8.59,102.9,100,188.8,901,1.9,11.2,152.0,15,128.7,172.7,0.0,0
1.638,9.9,0,97.7,-8.58,102.9,100,188.8,905,1.9,11.3,152.0,15,128.7,172.7,0.0,0
1.682,9.9,0,97.7,-8.60,102.9,100,188.8,907,1.9,11.3,152.0,15,128.7,172.7,0.0,0
1.717,9.9,0,97.7,-8.58,102.9,100,188.8,908,1.9,11.1,152.0,15,128.7,172.7,0.0,0
1.764,9.9,0,97.7,-8.60,102.9,100,188.8,910,2.0,11.3,152.0,15,128.7,172.7,0.0,0
1.798,9.9,0,97.7,-8.61,102.9,100,188.8,913,1.9,11.1,152.0,15,128.7,172.7,0.0,0
